route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
16509,3,9984751,Presidio Avenue,0,112,185861
16509,3,9984750,Presidio Avenue,0,115,185861
16509,3,9984749,Presidio Avenue,0,113,185861
16509,3,9984748,Presidio Avenue,0,114,185861
16509,3,9984747,Presidio Avenue,0,116,185861
16509,3,9984746,Presidio Avenue,0,111,185861
16509,3,9984745,Presidio Avenue,0,112,185861
16509,3,9984744,Presidio Avenue,0,115,185861
16509,3,9984743,Presidio Avenue,0,113,185861
16509,3,9984742,Presidio Avenue,0,114,185861
16509,3,9984741,Presidio Avenue,0,116,185861
16509,3,9984740,Presidio Avenue,0,111,185861
16509,3,9984739,Presidio Avenue,0,112,185861
16509,3,9984738,Presidio Avenue,0,115,185861
16509,3,9984737,Presidio Avenue,0,113,185861
16509,3,9984736,Presidio Avenue,0,114,185861
16509,3,9984735,Presidio Avenue,0,116,185861
16509,3,9984734,Presidio Avenue,0,111,185861
16509,3,9984733,Presidio Avenue,0,112,185861
16509,3,9984732,Presidio Avenue,0,115,185861
16509,3,9984731,Presidio Avenue,0,113,185861
16509,3,9984730,Presidio Avenue,0,114,185861
16509,3,9984729,Presidio Avenue,0,116,185861
16509,3,9984728,Presidio Avenue,0,111,185861
16509,3,9984727,Presidio Avenue,0,112,185861
16509,3,9984726,Presidio Avenue,0,115,185861
16509,3,9984725,Presidio Avenue,0,113,185861
16509,3,9984724,Presidio Avenue,0,114,185861
16509,3,9984723,Presidio Avenue,0,116,185861
16509,3,9984722,Presidio Avenue,0,111,185861
16509,3,9984721,Presidio Avenue,0,112,185861
16509,3,9984720,Presidio Avenue,0,115,185861
16509,3,9984719,Presidio Avenue,0,113,185861
16509,3,9984718,Presidio Avenue,0,114,185861
16509,3,9984717,Presidio Avenue,0,165,185861
16509,3,9984716,Presidio Avenue,0,111,185861
16509,3,9984715,Presidio Avenue,0,161,185861
16509,3,9984714,Presidio Avenue,0,115,185861
16509,3,9984713,Presidio Avenue,0,112,185861
16509,3,9984712,Presidio Avenue,0,114,185861
16509,3,9984711,Presidio Avenue,0,165,185861
16509,3,9984710,Presidio Avenue,0,166,185861
16509,3,9984709,Presidio Avenue,0,161,185861
16509,3,9984708,Presidio Avenue,0,164,185861
16509,3,9984707,Presidio Avenue,0,162,185861
16509,3,9984706,Presidio Avenue,0,163,185861
16509,3,9984705,Presidio Avenue,0,165,185861
16509,3,9984704,Presidio Avenue,0,166,185861
16509,3,9984703,Presidio Avenue,0,161,185861
16509,3,9984702,Presidio Avenue,0,164,185861
16509,3,9984701,Presidio Avenue,0,162,185861
16509,3,9984700,Presidio Avenue,0,163,185861
16509,3,9984699,Presidio Avenue,0,165,185861
16509,3,9984698,Presidio Avenue,0,166,185861
16509,3,9984697,Presidio Avenue,0,161,185861
16509,3,9984696,Presidio Avenue,0,164,185861
16509,3,9984695,Presidio Avenue,0,162,185861
16509,3,9984694,Presidio Avenue,0,163,185861
16509,3,9984693,Presidio Avenue,0,165,185861
16509,3,9984692,Presidio Avenue,0,166,185861
16509,3,9984691,Presidio Avenue,0,161,185861
16509,3,9984857,Presidio Avenue,0,109,185861
16509,3,9984856,Presidio Avenue,0,164,185861
16509,3,9984853,Presidio Avenue,0,151,185861
16509,3,9984852,Presidio Avenue,0,158,185861
16509,3,9984851,Presidio Avenue,0,152,185861
